ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
600000,1,10.161200523376465,1,10.352036476135254,1,10.423078536987305,1,10.50046157836914,1,10.569392204284668
600016,1,6.032198429107666,-1,6.02032470703125,1,6.024047374725342,1,6.031052112579346,1,6.037781238555908
600019,1,7.916945457458496,1,7.994156837463379,1,8.004075050354004,-1,8.003047943115234,1,8.004897117614746
600028,-1,6.483315944671631,-1,6.371129989624023,-1,6.365281105041504,-1,6.3421549797058105,-1,6.330070495605469
600029,-1,6.534598350524902,1,6.546654224395752,1,6.5491790771484375,1,6.5566582679748535,1,6.566031455993652
600030,1,16.018320083618164,1,16.057018280029297,-1,16.050878524780273,-1,16.045557022094727,-1,16.035991668701172
600036,1,28.524709701538086,-1,28.38796043395996,1,28.47471809387207,1,28.48491859436035,1,28.493885040283203
600048,1,12.552985191345215,1,12.70673942565918,1,12.769562721252441,1,12.792824745178223,1,12.811697959899902
600050,1,5.616464614868164,1,5.68963623046875,1,5.706486701965332,1,5.7222113609313965,1,5.740711212158203
600104,1,29.126850128173828,1,29.138471603393555,1,29.182559967041016,1,29.187698364257812,1,29.207571029663086
600111,1,11.319892883300781,1,11.514324188232422,1,11.750329971313477,1,11.916990280151367,1,12.024927139282227
600276,-1,62.28046417236328,1,62.304447174072266,1,62.754154205322266,1,62.806610107421875,1,62.820335388183594
600309,-1,34.255828857421875,-1,33.536739349365234,-1,33.11469268798828,-1,33.006107330322266,-1,32.928504943847656
600340,1,24.646869659423828,1,24.767593383789062,1,24.77041244506836,-1,24.767459869384766,1,24.76993751525879
600519,1,680.9317626953125,-1,680.4917602539062,1,682.0029907226562,1,682.6624755859375,1,682.7567749023438
600547,1,23.679792404174805,1,23.91985511779785,1,24.05597496032715,1,24.187015533447266,1,24.30117416381836
600585,-1,28.884382247924805,-1,28.612703323364258,-1,28.471378326416016,-1,28.447509765625,-1,28.425687789916992
600606,1,6.938295364379883,-1,6.928093433380127,1,6.94658088684082,1,6.958398818969727,1,6.962913513183594
600690,1,14.76781177520752,1,14.925480842590332,1,14.961847305297852,1,14.97531509399414,1,14.993084907531738
600703,-1,15.306734085083008,1,15.488987922668457,1,15.526402473449707,1,15.55148696899414,1,15.57897663116455
600887,1,27.101856231689453,1,27.2098445892334,1,27.300535202026367,1,27.333208084106445,1,27.371309280395508
600958,1,9.431248664855957,-1,9.220649719238281,1,9.228395462036133,1,9.245773315429688,1,9.256229400634766
600999,1,13.651641845703125,1,13.772103309631348,1,13.926624298095703,1,13.978201866149902,1,14.006386756896973
601006,1,8.662675857543945,-1,8.648694038391113,1,8.660930633544922,-1,8.654572486877441,-1,8.652128219604492
601088,1,18.119184494018555,1,18.30412483215332,1,18.414175033569336,1,18.4521484375,1,18.468385696411133
601166,-1,14.929312705993652,1,14.963094711303711,-1,14.953234672546387,-1,14.944917678833008,1,14.9476957321167
601169,1,5.833096981048584,1,5.907419204711914,1,5.919214248657227,1,5.9289398193359375,1,5.940061092376709
601186,1,10.445216178894043,1,10.470661163330078,1,10.503561973571777,1,10.529010772705078,1,10.549909591674805
601211,1,15.333746910095215,1,15.574603080749512,1,15.846176147460938,1,16.079763412475586,1,16.27718162536621
601229,-1,11.459734916687012,1,11.52483081817627,-1,11.519137382507324,-1,11.507974624633789,-1,11.50271224975586
601288,-1,3.585615634918213,-1,3.580379009246826,1,3.583833932876587,-1,3.583529472351074,1,3.5839545726776123
601318,1,63.02049255371094,1,63.052772521972656,1,63.309959411621094,1,63.38359832763672,1,63.44821548461914
601328,-1,5.533226490020752,1,5.551023483276367,1,5.5593485832214355,-1,5.556919574737549,-1,5.551328182220459
601336,1,45.59331130981445,1,45.947235107421875,-1,45.92131423950195,-1,45.90205383300781,1,45.92311477661133
601360,-1,23.649383544921875,1,23.94662094116211,-1,23.716327667236328,-1,23.508075714111328,-1,23.371511459350586
601390,-1,6.875740051269531,-1,6.854608058929443,1,6.9441447257995605,1,7.009125232696533,1,7.051968574523926
601398,1,5.461775302886963,1,5.506603717803955,1,5.529715538024902,1,5.545020580291748,1,5.557072162628174
601601,-1,31.9013671875,1,32.2166862487793,1,32.242252349853516,-1,32.234466552734375,1,32.24797439575195
601628,1,22.048664093017578,1,22.076194763183594,1,22.126249313354492,1,22.16777992248535,1,22.19971466064453
601668,1,5.392033576965332,1,5.456691741943359,1,5.463650226593018,-1,5.459338665008545,-1,5.455306053161621
601688,-1,15.016854286193848,1,15.073029518127441,1,15.120831489562988,1,15.155356407165527,1,15.179905891418457
601766,1,8.485000610351562,-1,8.409269332885742,1,8.435853004455566,1,8.482823371887207,1,8.537703514099121
601800,-1,12.252306938171387,1,12.267413139343262,-1,12.247299194335938,-1,12.244367599487305,1,12.255714416503906
601818,-1,3.686502456665039,1,3.713437795639038,1,3.72444224357605,1,3.7313241958618164,1,3.736694097518921
601857,1,7.942844867706299,1,7.95693302154541,-1,7.939093112945557,-1,7.926126480102539,-1,7.9176740646362305
601878,1,7.3120622634887695,1,7.536366939544678,1,7.686924934387207,1,7.790769577026367,1,7.866585731506348
601881,1,7.537312984466553,-1,7.5235419273376465,1,7.5525898933410645,1,7.587524890899658,1,7.621402740478516
601988,-1,3.504401445388794,1,3.5163238048553467,1,3.5168187618255615,-1,3.516530990600586,1,3.5173208713531494
601989,1,4.815280437469482,-1,4.712449073791504,1,4.721531867980957,1,4.741960525512695,1,4.756400108337402
603993,-1,4.566743850708008,1,4.596272945404053,-1,4.592326641082764,-1,4.590975284576416,1,4.593493461608887
